Editor,Status,,Act,Code,Div,Chapter,#,Text of Statute,Breakdown,Date Logged,Logger,Summary
,,Authority and Enforcement,,,,,"26200(a)-(d), (f); 26201; 26202",,,,,
,,     Relation of State and Local Law,,,,,26200(a)(1)-(2),"(a)(1) This division shall not be interpreted to supersede or limit the authority of a local jurisdiction to adopt and enforce local ordinances to regulate businesses licensed under this division, including, but not limited to, local zoning and land use requirements, business license requirements, and requirements related to reducing exposure to secondhand smoke, or to completely prohibit the establishment or operation of one or more types of businesses licensed under this division within the local jurisdiction; (2) This division shall not be interpreted to supersede or limit existing local authority for law enforcement activity, enforcement of local zoning requirements or local ordinances, or enforcement of local license, permit, or other authorization requirements.","(a)(1) State cannabis laws don’t supersede or limit the authority of local jurisdictions to regulate or prohibit cannabis businesses under local ordinances (especially zoning and land use, business licenses, and secondhand smoke exposure requirements); (2) Local law enforcement still has the authority to enforce local laws.",06/02/2019,,
,,     Enforcement by State Authorities,,,,,(b),"(b) This division shall not be interpreted to require a licensing authority to undertake local law enforcement responsibilities, enforce local zoning requirements, or enforce local licensing, permitting, or other authorization requirements.",(b) State cannabis laws do not require state licensing authorities to enforce local laws.,06/02/2019,,
,,     Local license revocation/suspension,,,,,(c),"(c) A local jurisdiction shall notify the bureau upon revocation of any local license, permit, or authorization for a licensee to engage in commercial cannabis activity within the local jurisdiction. Within 10 days of notification, the bureau shall inform the relevant licensing authorities. Within 60 days of being so informed by the bureau, the relevant licensing authorities shall begin the process to determine whether a license issued to the licensee should be suspended or revoked pursuant to Chapter 3 (commencing with Section 26030).","(c) Local jurisdictions must notify the CCB if they revoke a local commercial cannabis license or permit, the state licensing authorities will review and decide whether the license should be suspended or revoked (SEE BPC § 26030).",06/02/2019,,
,,     Unincorporated City Areas,,,,,(d),"(d) For facilities issued a state license that are located within the incorporated area of a city, the city shall have full power and authority to enforce this division and the regulations promulgated by the bureau or any licensing authority, if delegated by the state. Notwithstanding Sections 101375, 101400, and 101405 of the Health and Safety Code or any contract entered into pursuant thereto, or any other law, the city shall assume complete responsibility for any regulatory function pursuant to this division within the city limits that would otherwise be performed by the county or any county officer or employee, including a county health officer, without liability, cost, or expense to the county.","(d) If a state-licensed cannabis business is in unincorporated city area, then the city has authority to enforce state cannabis laws (if granted by the state). The city assumes complete responsibility to regulate the cannabis business at no cost or liability to the county, except where the city and county have contracted for the county to enforce public health and sanitation laws (SEE HSC §§ 101375, 101400, 101405).",06/02/2019,,
,,     City and County Authority/Remedies,,,,,(f),"(f) This division, or any regulations promulgated thereunder, shall not be deemed to limit the authority or remedies of a city, county, or city and county under any provision of law, including, but not limited to, Section 7 of Article XI of the California Constitution.","(f) State cannabis laws don’t limit city and county authority or remedies (SEE Art. XI, § 7, CA Constitution).",06/02/2019,,
,,     Ceiling and Floor,,,,,26201,"Any standards, requirements, and regulations regarding health and safety, environmental protection, testing, security, food safety, and worker protections established by the state shall be the minimum standards for all licensees under this division statewide. A local jurisdiction may establish additional standards, requirements, and regulations.",,06/02/2019,,
,,     Localities Enforcing State Laws,,,,,26202(a)-(b),"(a) A local jurisdiction may enforce this division and the regulations promulgated by any licensing authority if delegated the power to do so by the licensing authority; (b) A licensing authority shall implement the delegation of enforcement authority in subdivision (a) through an agreement between the licensing authority and the local jurisdiction to which enforcement authority is to be delegated.
","(a)-(b) Local jurisdictions may enforce state cannabis regulations if given than power by the state licensing authority via agreement between them.
",06/02/2019,,
,,,,,,,,,,,,
,,"Temporary Event Licenses, Requirements",,,,,26200(e)(1)-(5),,,,,
,,,,,,,1(A)-(E),"(a) The state may license temporary event licenses for onsite cannabis sales and consumption by persons 21 an older at a venue approved by a local jurisdiction for temporary events like county fairs, district agricultural association events, etc., BUT must comply with the following: (A) Access to the cannabis consumption area is restricted to persons 21 years of age or older; cannabis consumption is not visible from any public place or non-age-restricted area; there is no sale of alcohol or tobacco on the premises; (B) Anyone selling cannabis at the event is licensed to do so; (C) Generally, the activities of the event follow the regulations governing state-licensed temporary events; (D) State temporary licenses are only issued in local jurisdictions that authorize such events; (E) The party seeking the temporary license must give the BCC a list of licensed cannabis retailers providing onsite cannabis (products), must update the BCC if it changes, and any retailer not on the list is forbidden from selling cannabis.","(1) The state may license temporary event licenses for onsite cannabis sales and consumption by persons 21 an older at a venue approved by a local jurisdiction for temporary events like county fairs, district agricultural association events, etc., BUT must comply with the following: (A) Access to the cannabis consumption area is restricted to persons 21 years of age or older; cannabis consumption is not visible from any public place or non-age-restricted area; there is no sale of alcohol or tobacco on the premises; (B) Anyone selling cannabis at the event is licensed to do so; (C) Generally, the activities of the event follow the regulations governing state-licensed temporary events; (D) State temporary licenses are only issued in local jurisdictions that authorize such events; (E) The party seeking the temporary license must give the BCC a list of licensed cannabis retailers providing onsite cannabis (products), must update the BCC if it changes, and any retailer not on the list is forbidden from selling cannabis.",06/02/2019,,
,,,,,,,2,"(2) The bureau may impose a civil penalty on any person who violates this subdivision, or any regulations adopted by the bureau governing state temporary event licenses, in an amount up to three times the amount of the license fee for each violation, consistent with Sections 26018 and 26038.","(2) The BCC may penalize anyone violating the temporary license regulations up to three times the amount of the license fee for each violation (SEE BPC §§ 26018, 26038).",06/02/2019,,
,,,,,,,3,"(3) The bureau may require the event and all participants to cease operations without delay if in the opinion of the bureau or local law enforcement it is necessary to protect the immediate public health and safety of the people of the state. The bureau may also require the event organizer to immediately expel from the event any participant selling cannabis or cannabis products without a license from the bureau that authorizes the participant to sell cannabis or cannabis products. If the unlicensed participant does not leave the event, the bureau may require the event and all participants to cease operations immediately.","(3) The BCC may stop the event immediately if it or local law enforcement feel it’s necessary to protect public health and safety; BCC may require event organizer to expel any unlicensed party selling cannabis; if the unlicensed party does not leave, the BCC may immediately stop the event.",06/02/2019,,
,,,,,,,4,(4) The order by the bureau for the event to cease operations pursuant to paragraph (3) does not entitle the event organizer or any participant in the event to a hearing or an appeal of the decision. Chapter 3 (commencing with Section 490) of Division 1.5 and Chapter 4 (commencing with Section 26040) of this division shall not apply to the order by the bureau for the event to cease operations pursuant to paragraph (3).,"(4) Event organizers may not appeal or request a hearing if BCC stops the event, license revocation and appeals laws don’t apply here. (CF BPC §§ 475 – 499, 26040 – 26047).",06/02/2019,,
,,,,,,,5,"(5) The smoking of cannabis or cannabis products at temporary events authorized pursuant to this subdivision is prohibited in locations where smoking is prohibited. For purposes of this section, “smoking” has the same meaning as defined in subdivision (c) of Section 22950.5.",(5) Cannabis smoking prohibited in places where smoking is prohibited (SEE BPC § 22950.5(c) for “smoking” definition).,06/02/2019,,
,,,,,,,,,,,,
,,Onsite Consumption,,,,,26200(g)(h),,,,,
,,     Conditions,,,,,(g)(1)-(3),"(g) Notwithstanding paragraph (1) of subdivision (a) of Section 11362.3 of the Health and Safety Code, a local jurisdiction may allow for the smoking, vaporizing, and ingesting of cannabis or cannabis products on the premises of a retailer or microbusiness licensed under this division if all of the following are met: (1) Access to the area where cannabis consumption is allowed is restricted to persons 21 years of age or older; (2) Cannabis consumption is not visible from any public place or nonage-restricted area; (3) Sale or consumption of alcohol or tobacco is not allowed on the premises.","(g) Local jurisdictions may allow onsite smoking, vaping, or ingesting of cannabis at retailer or microbusiness premises IF the following requirements are met (CF HSC § 11362.3(a)(1)): (1) Access to the cannabis consumption area is restricted to persons 21 years of age or older; (2) Cannabis consumption is not visible from any public place or non-age-restricted area; (3) There is no sale of alcohol or tobacco on the premises.",06/02/2019,,
,,     Smoking and work environment,,,,,(h),(h) This division shall not be interpreted to supersede Section 6404.5 of the Labor Code.,(h) State cannabis laws do not supersede state law governing smoking in enclosed work environments (SEE LAB § 6404.5).,06/02/2019,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Protection of Minors,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Equity,,,,,,,,,,
,,,,,,,,,,,,
CD,,California Cannabis Equity Act,MAUCRSA,BPC,10,Chapter 23,26240-26250,,"The part of MAUCRSA that allows BCC to aid local level social equity efforts, primarily by allowing cities or counties to allow for grant funding from BCC that they then disperse to individuals and businesses. ",,,
,,All Definitions,,,,,26240,,,03/15/2018,,
,, “Local equity program” defined,,,,,26240(d)(1)-(7),"Local equity programs may include, but are not limited to, the following types of services:
(1) Small business support services offering technical assistance to those persons from economically disadvantaged communities that experience high rates of poverty or communities most harmed by cannabis prohibition, determined by historically high rates of arrests or convictions for cannabis law violations.
(2) Tiered fees or fee waivers for cannabis-related permits and licenses.
(3) Assistance in paying state regulatory and licensing fees.
(4) Assistance securing business locations prior to or during the application process.
(5) Assistance securing capital investments.
(6) Assistance with regulatory compliance.
(7) Assistance in recruitment, training, and retention of a qualified and diverse workforce, including transitional workers.","There are no statutory requirements for something to be by definition an equity program. Types of services equity programs ""may include"" are business and compliance support services, tiered or waived fees, and assistance finding locations or employees.",03/15/2018,,
,,"""Transitional worker"" defined",,,,,26240(e),"“Transitional worker” means a person who, at the time of starting employment at the business premises, resides in a ZIP Code or census track area with higher than average unemployment, crime, or child death rates, and faces at least one of the following barriers to employment: (1) is homeless; (2) is a custodial single parent; (3) is receiving public assistance; (4) lacks a GED or high school diploma; (5) has a criminal record or other involvement with the criminal justice system; (6) suffers from chronic unemployment; (7) is emancipated from the foster care system; (8) is a veteran; or (9) is over 65 years of age and is financially compromised.",,03/15/2018,,
,,Technical Assistance,,,,,,,,03/15/2018,,
,,Bureau may provide TA,,,,,26242(a),"(a) The bureau may, upon request by a local jurisdiction, provide technical assistance to a local equity program that helps local equity applicants or local equity licensees. When determining whether to provide technical assistance, the bureau shall make individual determinations based on the reasonableness of the request and available resources.",,03/15/2018,,
,,"""Technical assistance"" includes",,,,,26242(b),(b) “Technical assistance” includes providing training and educational sessions regarding state cannabis licensing processes and requirements to equity applicants or equity licensees that are coordinated with the local equity program.,,03/15/2018,,
,,Grants to local jurisdictions for equity assistance,,,,,26244(a)-(d),,,03/15/2018,,
,,Application review criteria,,,,,26244(a)(2),"(2) The bureau shall review an application based on the following factors:
(A) Whether the local jurisdiction is an eligible local jurisdiction.
(B) Whether the local jurisdiction has adopted or operates a local equity program.
(C) Whether the local jurisdiction has identified a local equity applicant or a local equity licensee that the local jurisdiction could assist, as defined in subdivision (b), through use of the grant funding.
(D) Whether the local jurisdiction has demonstrated the ability to provide, or created a plan to provide, the services identified in subdivision (b).
(E) The number of existing and potential local equity applicants and local equity licensees in the local jurisdiction.
(F) Any additional relevant and reasonable criteria the bureau deems necessary.",,03/15/2018,,
,,What grant money can be used for,,,,,,,,03/15/2018,,
,,"     what does it mean for funds to ""assist""",,,,,26244(b),"(d) An eligible local jurisdiction that receives a grant pursuant to this section shall use no more than 10 percent of the state grant for administration, including employing staff or hiring consultants to administer grants and the program.",,03/15/2018,,
,,     10% limit on using grant money for admin,,,,,26244(d),,The majority of BCC grant money is supposed to be reallocated directly to equity programs through grants or services because grantees cannot use more than 10% of grant funds for fund distribution. ,03/15/2018,,
,,Reporting requirements for grantees,,,,,26244(c),"(c) An eligible local jurisdiction that receives a grant pursuant to subdivision (a) shall, on or before January 1 of the year following receipt of the grant and annually thereafter for each year that grant funds are expended, submit an annual report to the bureau that includes all of the following information:
(1) How the local jurisdiction disbursed grant funds.
(2) How the local jurisdiction identified local equity applicants or local equity licensees, including how the local jurisdiction determines who qualifies as a local equity applicant or local equity licensee.
(3) The number of local equity applicants and local equity licensees that were served by the grant funds.
(4) Demographic data on equity applicants, equity licensees, and other applicants and licensees in the jurisdiction, including, but not limited to, race, ethnicity, gender, sexual orientation, income level, prior convictions, and veteran status. This information will be consolidated and reported without the individual’s identifying information.",,03/15/2018,,
,,Bureau responsibilites ,,,,,,,,03/15/2018,,
,,role of BCC in relation to equity programs,,,,,26246(a)-(c),"To facilitate greater equity in business ownership and employment in the cannabis market, the bureau shall do all of the following:
(a) Serve as a point of contact for local equity programs.
(b) On or before July 1, 2019, publish approved local equity ordinances and model local equity ordinances created by advocacy groups and experts to the bureau’s Internet Web site. Advocacy groups and experts may include, but are not limited to, minority business owners and entrepreneurs, organizations with expertise in addressing barriers to employment and licensure for low-income communities or persons with prior arrests or convictions, and unions representing cannabis workers.
(c) To the extent feasible, coordinate with the relevant local jurisdictions to carry out the responsibilities described in this section.",non-binding guidance about Bureau's role as a point of contact and coordinator to help equity programs,03/15/2018,,
,,Bureau report by July 2020,,,,,26248(a)-(d),"(a) On or before July 1, 2020, the bureau shall submit a report to the Legislature regarding the progress of local equity programs that have received funding pursuant to Section 26244.
(b) The report shall include, but is not limited to, the following information:
(1) The cities, counties, and cities and counties that have enacted local equity programs.
(2) The number of local equity applicants and general applicants applying for and receiving licenses in the jurisdictions that received grants.
(3) Information collected pursuant to subdivision (c) of Section 26244.
(c) The bureau shall post the report required by this section on its Internet Web site.
(d) The report required by this section shall be submitted in compliance with Section 9795 of the Government Code, and shall apply notwithstanding Section 10231.5 of the Government Code.",,03/15/2018,,
,,,,,,,,,,,,
,,Licensing / Permitting Requirements,,,,,,,,,,
,,,,,,,,,,,,
CD,,Licensing (All),MAUCRSA,BPC,10,Chapter 5,26050 - 26059,,,,,
,,General Provisions,,,,,,,,,,
,,License types,,,,,26050(a) ,"(a) The license classification pursuant to this division shall, at a minimum, be as follows:
(1) Type 1—Cultivation; Specialty outdoor; Small.
(2) Type 1A—Cultivation; Specialty indoor; Small.
(3) Type 1B—Cultivation; Specialty mixed-light; Small.
(4) Type 1C—Cultivation; Specialty cottage; Small.
(5) Type 2—Cultivation; Outdoor; Small.
(6) Type 2A—Cultivation; Indoor; Small.
(7) Type 2B—Cultivation; Mixed-light; Small.
(8) Type 3—Cultivation; Outdoor; Medium.
(9) Type 3A—Cultivation; Indoor; Medium.
(10) Type 3B—Cultivation; Mixed-light; Medium.
(11) Type 4—Cultivation; Nursery.
(12) Type 5—Cultivation; Outdoor; Large.
(13) Type 5A—Cultivation; Indoor; Large.
(14) Type 5B—Cultivation; Mixed-light; Large.
(15) Type 6—Manufacturer 1.
(16) Type 7—Manufacturer 2.
(17) Type 8—Testing laboratory.
(18) Type 10—Retailer.
(19) Type 11—Distributor.
(20) Type 12—Microbusiness.",,03/16/2018,,
,,Designating adult use vs. medical use,,,,,26050(b),"(b) With the exception of testing laboratory licenses, which may be used to test cannabis and cannabis products regardless of whether they are intended for use by individuals who possesses a physician’s recommendation, all licenses issued under this division shall bear a clear designation indicating whether the license is for commercial adult-use cannabis activity as distinct from commercial medicinal cannabis activity by prominently affixing an “A” or “M,” respectively. Examples of such a designation include, but are not limited to, “A-Type 1” or “M-Type 1.” Except as specifically specified in this division, the requirements for A-licenses and M-licenses shall be the same. For testing laboratories, the bureau shall create a license that indicates a testing laboratory may test both adult-use and medicinal cannabis.","License holders must designate their products as ""adult use"" or ""medical"" by putting ""A"" or ""M"" before the license type i.e. “A-Type 1” or “M-Type 1.”",03/16/2018,,
,,License valid for 12 months,,,,,26050(c),"(c) A license issued pursuant to this division shall be valid for 12 months from the date of issuance. The license may be renewed annually.
",,03/16/2018,,
,,Provisional Licenses,,,,,26050.2,"(a) A licensing authority may, in its sole discretion, issue a provisional license to an applicant if the following conditions are met:
(1) The applicant holds or held a temporary license for the same premises and the same commercial cannabis activity for which the license may be issued pursuant to this section.
(2) The applicant has submitted a completed license application to the licensing authority, including evidence that compliance with the California Environmental Quality Act (Division 13 (commencing with Section 21000) of the Public Resources Code) is underway.
(b) A provisional license issued pursuant to this section shall be valid for 12 months from the date issued and shall not be renewed. Except as specified in this section, the provisions of this division shall apply to a provisional license in the same manner as to an annual license.
(c) Without limiting any other statutory exemption or categorical exemption, Division 13 (commencing with Section 21000) of the Public Resources Code does not apply to the issuance of a license pursuant to this section by the licensing authority.
(d) Refusal by the licensing authority to issue a license pursuant to this section or revocation or suspension by the licensing authority of a license issued pursuant to this section shall not entitle the applicant or licensee to a hearing or an appeal of the decision. Chapter 2 (commencing with Section 480) of Division 1.5 and Chapter 4 (commencing with Section 26040) of this division shall not apply to licenses issued pursuant to this section.
(e) This section shall remain in effect only until January 1, 2020, and as of that date is repealed.",,03/16/2018,,
,,Multiple licenses / multiple locations,,,,,26053(c)(d),"(c) Except as provided in subdivision (b), a person may apply for and be issued more than one license under this division.
(d) Each applicant or licensee shall apply for, and if approved, shall obtain, a separate license for each location where it engages in commercial cannabis activity.
(Amended by Stats. 2017, Ch. 253, Sec. 3. (AB 133) Effective S","You have more than one license, unless you are a testing lab. If there are multiple locations, you need separate licenses for each location.",03/16/2018,,
,,Location restrictions,,,,,26054(b),"(b) A premises licensed under this division shall not be located within a 600-foot radius of a school providing instruction in kindergarten or any grades 1 through 12, day care center, or youth center that is in existence at the time the license is issued, unless a licensing authority or a local jurisdiction specifies a different radius. The distance specified in this section shall be measured in the same manner as provided in subdivision (c) of Section 11362.768 of the Health and Safety Code unless otherwise provided by law.
","Unless your locality specifies otherwise, license holders' location cannot be within 600ft radius of daycares, schools, or youth centers.",03/16/2018,,
,,Cannabis accessory businesses,,,,,26054(c),"(c) It shall not be a violation of state or local law for a business engaged in the manufacture of cannabis accessories to possess, transport, purchase, or otherwise obtain small amounts of cannabis or cannabis products as necessary to conduct research and development related to the cannabis accessories, provided the cannabis and cannabis products are obtained from a person licensed under this division permitted to provide or deliver the cannabis or cannabis products.
","If you make or sell cannabis accessories (i.e. bongs, dab rigs), you don't need a special license to possess and transport small amounts of cannabis products that are used to develop or test the accessories. You still need to obtain the cannabis products from licensed providers.",03/16/2018,,
,,Prohibition on monopolization,,,,,26051,"(a) The Cartwright Act, the Unfair Practices Act, the Unfair Competition Law, and the other provisions of Part 2 (commencing with Section 16600) of Division 7 apply to all licensees regulated under this division.
(b) It shall be unlawful for any person to monopolize, attempt to monopolize, or combine or conspire with any person or persons to monopolize, any part of the trade or commerce related to cannabis. The Attorney General shall have the sole authority to enforce the provisions of this subdivision.
(c) In determining whether to grant, deny, or renew a retail license, microbusiness license, or a license issued under Section 26070.5, the bureau shall consider if an excessive concentration exists in the area where the licensee will operate. For purposes of this section “excessive concentration” applies when either of the following conditions exist:
(1) The ratio of licensees to population in the census tract or census division in which the applicant premises is located exceeds the ratio of licensees to population in the county in which the applicant premises is located, unless denial of the application would unduly limit the development of the legal market so as to perpetuate the illegal market for cannabis or cannabis products.
(2) The ratio of retail licenses, microbusiness licenses, or licenses under Section 26070.5 to the population in the census tract, census division, or jurisdiction exceeds that allowable by local ordinance adopted under Section 26200.",,03/16/2018,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CD,,Licensing Application Requirements,,,,,26051.5(a)-(d),,,,,
,,Backrground check,,,,,26051.5(a)(1),"(1) Require that each owner electronically submit to the Department of Justice fingerprint images and related information required by the Department of Justice of all applicants for any type of state license issued pursuant to this division, for the purpose of obtaining information as to the existence and content of a record of state or federal convictions and state and federal arrests, and also information as to the existence and content of a record of state or federal convictions and arrests for which the Department of Justice establishes that the person is free on bail or on his or her recognizance pending trial or appeal.
(A) Notwithstanding any other law, the Bureau of Cannabis Control, the Department of Food and Agriculture, and the State Department of Public Health may obtain and receive, at their discretion, criminal history information from the Department of Justice and the Federal Bureau of Investigation for an applicant for any state license under this division, including any license established by a licensing authority by regulation pursuant to subdivision (b) of Section 26012.
(B)  When received, the Department of Justice shall transmit fingerprint images and related information received pursuant to this section to the Federal Bureau of Investigation for the purpose of obtaining a federal criminal history records check. The Department of Justice shall review the information returned from the Federal Bureau of Investigation and compile and disseminate a response to the licensing authority.
(C) The Department of Justice shall provide a response to the licensing authority pursuant to paragraph (1) of subdivision (p) of Section 11105 of the Penal Code.
(D) The licensing authority shall request from the Department of Justice subsequent notification service, as provided pursuant to Section 11105.2 of the Penal Code, for applicants.
(E) The Department of Justice shall charge the applicant a fee sufficient to cover the reasonable cost of processing the requests described in this paragraph.",You have to submit fingerprints for a background check.,03/16/2018,,
,,Evidence of right to occupy proposed location,,,,,26051.5(a)(2),"(2) Provide evidence of the legal right to occupy and use the proposed location and provide a statement from the landowner of real property or that landowner’s agent where the commercial cannabis activity will occur, as proof to demonstrate the landowner has acknowledged and consented to permit commercial cannabis activities to be conducted on the property by the tenant applicant.",You need to provide BCC with evidence that the owner of the location you are seeking the license for consents to commercial cannabis activity.,03/16/2018,,
,,Evidence of no alcohol or tobacco on site,,,,,26051.5(a)(3),(3) Provide evidence that the proposed location is in compliance with subdivision (b) of Section 26054.,You need to provide BCC with evidence that you won't sell alcohol or tobacco at the location assoicated with the license.,03/16/2018,,
,,Statement that app materials are true and accurate,,,,,26051.5(a)(4),"(4) Provide a statement, signed by the applicant under penalty of perjury, that the information provided is complete, true, and accurate",You need to provide BCC with a signed and sworn statement that the info you provide with your application is true and accurate.,03/16/2018,,
,,Seller's permit,,,,,26051.5(a)(6),(6) Provide the applicant’s valid seller’s permit number issued pursuant to Part 1 (commencing with Section 6001) of Division 2 of the Revenue and Taxation Code or indicate that the applicant is currently applying for a seller’s permit.,Provide a valid seller's permit number or proof that you are applying for a seller's permit,03/16/2018,,
,,Operating procedures,,,,,26051.5(b),"(b) An applicant shall also include in the application a detailed description of the applicant’s operating procedures for all of the following, as required by the licensing authority:
(1) Cultivation.
(2) Extraction and infusion methods.
(3) The transportation process.
(4) Inventory procedures.
(5) Quality control procedures.
(6) Security protocols.
(7) For applicants seeking licensure to cultivate, the source or sources of water the applicant will use for cultivation, as provided in subdivisions (a) to (c), inclusive, of Section 26060.1. For purposes of this paragraph, “cultivation” as used in Section 26060.1 shall have the same meaning as defined in Section 26001. The Department of Food and Agriculture shall consult with the State Water Resources Control Board and the Department of Fish and Wildlife in the implementation of this paragraph.","You need to provide BCC with a detailed decription of how your business operates inlcuding methods for cultivation and extraction, transportation processes, and procedures for inventory, quality control and security. ",03/16/2018,,
,,Diagram of the premises,,,,,26051.5(c),"(c) The applicant shall also provide a complete detailed diagram of the proposed premises wherein the license privileges will be exercised, with sufficient particularity to enable ready determination of the bounds of the premises, showing all boundaries, dimensions, entrances and exits, interior partitions, walls, rooms, and common or shared entryways, and include a brief statement or description of the principal activity to be conducted therein, and, for licenses permitting cultivation, measurements of the planned canopy, including aggregate square footage and individual square footage of separate cultivation areas, if any, roads, water crossings, points of diversion, water storage, and all other facilities and infrastructure related to the cultivation.","You need to provide BCC with a diagram of the physical location associated with your license. The diagram should include the whole property (roads, waterways) as well as a diagram of the interior of buildings (walls, exits, activity conducted).",03/16/2018,,
,,List of persons with a financial interest,,,,,26051.5(d),"(d) Provide a complete list of every person with a financial interest in the person applying for the license as required by the licensing authority. For purposes of this subdivision, “persons with a financial interest” does not include persons whose only interest in a licensee is an interest in a diversified mutual fund, blind trust, or similar instrument.",You need to provide BCC with a list of people who have a financial interest in the license. ,03/16/2018,,
,,Pay fees,,,,,26051.5(a)(9),"(9) Pay all applicable fees required for licensure by the licensing authority.
",Pay BCC fees.,03/16/2018,,
,,Pay a bond,,,,,26051.5(a)(10),(10) Provide proof of a bond to cover the costs of destruction of cannabis or cannabis products if necessitated by a violation of licensing requirements.,BCC is going to hold onto some of your money in case they need to pay to destroy your cannabis.,03/16/2018,,
,,Agree to 30 hours of OSHA training w/n 1 year,,,,,26051.5(a)(11),"(11) (A) Provide a statement, upon initial application and application for renewal, that the applicant employs, or will employ within one year of receiving or renewing a license, one supervisor and one employee who have successfully completed a Cal-OSHA 30-hour general industry outreach course offered by a training provider that is authorized by an OSHA Training Institute Education Center to provide the course. This paragraph shall not be construed to alter or amend existing requirements for employers to provide occupational safety and health training to employees.
(B) An applicant with only one employee shall not be subject to subparagraph (A).
(C) For purposes of this paragraph “employee” has the same meaning as provided in subparagraph (B) of paragraph (5) and “supervisor” has the same meaning as provided in subparagraph (C) of paragraph (5).","You must agree to send 1 employee and 1 supervisor to an OSHA training within 1 year of getting your license. If the business has only 1 employee, you don't need to do this. ",03/16/2018,,
,,,,,,,,,,,,
CD,,Additional Requirements for Licensing,,,,,26051.5(a),,,,,
,,(if 20+ employees) comply with labor agreements ,,,,,26051.5(a)(5),"(5) (A) For an applicant with 20 or more employees, provide a statement that the applicant will enter into, or demonstrate that it has already entered into, and abide by the terms of a labor peace agreement.
(B) For the purposes of this paragraph, “employee” does not include a supervisor.
(C) For the purposes of this paragraph, “supervisor” means an individual having authority, in the interest of the applicant, to hire, transfer, suspend, lay off, recall, promote, discharge, assign, reward, or discipline other employees, or responsibility to direct them or to adjust their grievances, or effectively to recommend such action, if, in connection with the foregoing, the exercise of that authority is not of a merely routine or clerical nature, but requires the use of independent judgment.","If a business has 20 or more employees (not counting supervisors), then the license holder must follow labor peace agreements. ",03/16/2018,,
